Name,Size (GiB),Host LUN ID,WWN,Description
nccmh8msgbrokerdrvm3,"1,024.00",46,60:06:01:60:5B:3A:65:00:90:91:DC:69:A2:BD:F0:3B,nccmh8msgbrokerdrvm3
nccmh8hesmonitordrv1,"10,752.00",47,60:06:01:60:5B:3A:65:00:20:92:DC:69:E1:B4:04:78,nccmh8hesmonitordrv1
nccmh8hesmonitordrv2,"10,752.00",48,60:06:01:60:5B:3A:65:00:C2:95:DC:69:27:84:A8:F3,nccmh8hesmonitordrv2
nccmh8hesmonitordrvm3,"10,752.00",49,60:06:01:60:5B:3A:65:00:80:96:DC:69:7E:D4:2A:E7,nccmh8hesmonitordrvm3
test-2,3,50,60:06:01:60:5B:3A:65:00:61:B7:E5:69:FE:B4:FC:DC,olvm testing
nccmh8hesmsgbrokern1drv1,500,51,60:06:01:60:5B:3A:65:00:87:A0:DC:69:8E:8C:8D:CC,nccmh8hesmsgbrokern1drv1
nccmh8hesmsgbrokern2drv2,500,52,60:06:01:60:5B:3A:65:00:B1:A0:DC:69:18:0D:0F:6C,nccmh8hesmsgbrokern2drv2
nccmh8hesmsgbrokern3drvm3,500,53,60:06:01:60:5B:3A:65:00:E0:A0:DC:69:74:6E:85:11,nccmh8hesmsgbrokern3drvm3
nccmh8hesasn1drv1,512,54,60:06:01:60:5B:3A:65:00:04:A1:DC:69:14:8B:A3:9B,nccmh8hesasn1drv1
nccmh8hesasn2drv2,512,55,60:06:01:60:5B:3A:65:00:30:A1:DC:69:73:29:6C:99,nccmh8hesasn2drv2
nccmh8hesdbn2drv2,"3,686.40",56,60:06:01:60:5B:3A:65:00:7F:13:DD:69:7E:55:55:94,nccmh8hesdbn2drv2
nccmh8hesdbn3drvm3,"3,686.40",57,60:06:01:60:5B:3A:65:00:AA:13:DD:69:B5:9B:26:85,nccmh8hesdbn3drvm3
hes-db-ds-dd,"5,120.00",58,60:06:01:60:5B:3A:65:00:D3:13:DD:69:CE:D4:80:14,hes-db-ds-dd
kimbalpkg9-logshipping,"1,024.00",59,60:06:01:60:5B:3A:65:00:07:A6:2F:6A:C5:CF:7B:66,kimbalpkg9-logshipping
nccmh8hesdbn1drv01,"3,686.40",60,60:06:01:60:5B:3A:65:00:60:E2:DD:69:1F:4C:BA:0A,nccmh8hesdbn1drv01
kmble-pkg9-DataDomain,"2,048.00",61,60:06:01:60:5B:3A:65:00:07:75:DF:69:75:8C:57:CA,kmble-pkg9-DataDomain
kmble-pkg9-DataDisk,"3,072.00",62,60:06:01:60:5B:3A:65:00:61:75:DF:69:7F:14:59:AB,kmble-pkg9-DataDisk
kmbl-pkg9-hes-db-C-Drive,200,63,60:06:01:60:5B:3A:65:00:63:76:DF:69:86:40:50:DA,kmbl-pkg9-hes-db-C-Drive
kmbl-pkg9-hes-db-E-Drive,"3,200.00",65,60:06:01:60:5B:3A:65:00:94:77:DF:69:B4:FD:C0:3C,kmbl-pkg9-hes-db-E-Drive
kmbl-pkg9-hes-db-F-Drive,"1,800.00",66,60:06:01:60:5B:3A:65:00:D7:77:DF:69:CB:59:84:03,kmbl-pkg9-hes-db-F-Drive
kmbl-pkg9-hes-db-G-Drive,"1,600.00",67,60:06:01:60:5B:3A:65:00:13:78:DF:69:F6:0D:55:00,kmbl-pkg9-hes-db-G-Drive
kmbl-pkg9-hes-db-Qurm,2,68,60:06:01:60:5B:3A:65:00:D5:7F:DF:69:2F:D9:46:FE,kmbl-pkg9-hes-db-Qurm
test-1,10,69,60:06:01:60:5B:3A:65:00:23:B7:E5:69:E4:A4:D1:1D,olvm testing
easysoft-pkg9-datadomain01,"5,120.00",70,60:06:01:60:5B:3A:65:00:58:C8:E9:69:3A:3B:79:5E,easysoft-pkg9-datadomain01
easysoft-pkg9-datadomain02,"5,120.00",71,60:06:01:60:5B:3A:65:00:A2:C8:E9:69:51:D1:E9:A6,easysoft-pkg9-datadomain02
easysoft-pkg9-datadomain03,"5,120.00",72,60:06:01:60:5B:3A:65:00:EE:C8:E9:69:2D:A6:8D:24,easysoft-pkg9-datadomain03
MDMPKG9-LOG-D,"4,505.60",73,60:06:01:60:5B:3A:65:00:81:4A:EB:69:15:35:FD:ED,MDMPKG9-LOG-D
MDMPKG9-TEMP-E,"1,536.00",74,60:06:01:60:5B:3A:65:00:0E:4B:EB:69:15:94:AB:D6,MDMPKG9-TEMP-E
MDMPKG9STGIP-F,"8,704.00",75,60:06:01:60:5B:3A:65:00:8C:4B:EB:69:CE:A4:45:D0,MDMPKG9STGIP-F
MDMPKG9STGLS-G,"4,198.40",76,60:06:01:60:5B:3A:65:00:E9:4B:EB:69:CD:4B:F1:34,MDMPKG9STGLS-G
MDMPKG9STGEVENTALARM-H,"2,252.80",77,60:06:01:60:5B:3A:65:00:30:4C:EB:69:73:3F:E3:A2,MDMPKG9STGEVENTALARM-H
MDMPKG9-MDM-IP-I,"8,704.00",78,60:06:01:60:5B:3A:65:00:E4:4C:EB:69:83:25:18:96,MDMPKG9-MDM-IP-I
MDMPKG9-MDM-LS-J,"4,198.40",79,60:06:01:60:5B:3A:65:00:30:4D:EB:69:12:C0:DA:C8,MDMPKG9-MDM-LS-J
MDMPKG9-MDM-EVENTALARM-K,"2,252.80",80,60:06:01:60:5B:3A:65:00:A6:4D:EB:69:77:16:58:EB,MDMPKG9-MDM-EVENTALARM-K
MDMPKG9-MIS-STG-L,600,81,60:06:01:60:5B:3A:65:00:F7:4D:EB:69:A9:33:9D:E4,MDMPKG9-MIS-STG-L
MDMPKG9-MIS-M,859,82,60:06:01:60:5B:3A:65:00:3A:4E:EB:69:DA:40:71:72,MDMPKG9-MIS-M
MDMPKG9-BACKUP-2Y-N,"3,072.00",83,60:06:01:60:5B:3A:65:00:A6:4E:EB:69:47:04:56:51,MDMPKG9-BACKUP-2Y-N
MDMPKG9-Quorum-Q,2,84,60:06:01:60:5B:3A:65:00:53:4F:EB:69:55:29:54:96,MDMPKG9-Quorum-Q
MISPKG9-log-D,550,85,60:06:01:60:5B:3A:65:00:EB:51:EB:69:CC:04:0D:3A,MISPKG9-log-D
MISPKG9-Temp-E,550,86,60:06:01:60:5B:3A:65:00:59:52:EB:69:F5:CB:E8:8E,MISPKG9-Temp-E
MISPKG9-MIS-STG-F,550,87,60:06:01:60:5B:3A:65:00:92:52:EB:69:45:85:5F:E1,MISPKG9-MIS-STG-F
MISPKG9-Prepaid-G,330,88,60:06:01:60:5B:3A:65:00:CE:52:EB:69:C7:A3:6F:B0,MISPKG9-Prepaid-G
MISPKG9-WFM-H,330,89,60:06:01:60:5B:3A:65:00:16:53:EB:69:37:EE:0A:4D,MISPKG9-WFM-H
MISPKG9-MIS-Main-I,"1,450.00",90,60:06:01:60:5B:3A:65:00:5E:53:EB:69:9C:E1:51:9D,MISPKG9-MIS-Main-I
MISPKG9-backup-2Y-O,250,91,60:06:01:60:5B:3A:65:00:B7:53:EB:69:70:E0:BD:24,MISPKG9-backup-2Y-O
MISPKG9-Quoram-Q,2,92,60:06:01:60:5B:3A:65:00:17:54:EB:69:BE:4A:42:87,MISPKG9-Quoram-Q
hesdbnode1pkg9-mntdata,353,93,60:06:01:60:5B:3A:65:00:76:59:EB:69:0E:60:35:14,hesdbnode1pkg9-mntdata
hesdbnode1pkg9-mntpg,353,94,60:06:01:60:5B:3A:65:00:C6:59:EB:69:57:8D:0E:6F,hesdbnode1pkg9-mntpg
hesdbnode1pkg9-mntmedium,564,95,60:06:01:60:5B:3A:65:00:0B:5A:EB:69:18:05:C4:E3,hesdbnode1pkg9-mntmedium
hesdbnode1pkg9-mntlarge,917,96,60:06:01:60:5B:3A:65:00:62:5A:EB:69:5D:21:56:E7,hesdbnode1pkg9-mntlarge
hesdbnode1pkg9-mntsmall,353,97,60:06:01:60:5B:3A:65:00:B3:5A:EB:69:A6:B5:91:89,hesdbnode1pkg9-mntsmall
hesdbnode2pkg9-mntdata,353,98,60:06:01:60:5B:3A:65:00:2C:5B:EB:69:D7:85:50:A6,hesdbnode2pkg9-mntdata
hesdbnode2pkg9-mntpg,353,99,60:06:01:60:5B:3A:65:00:87:5B:EB:69:0F:DC:40:CF,hesdbnode2pkg9-mntpg
hesdbnode2pkg9-mntmedium,564,100,60:06:01:60:5B:3A:65:00:CD:5B:EB:69:C8:9B:B3:74,hesdbnode2pkg9-mntmedium
hesdbnode2pkg9-mntlarge,917,101,60:06:01:60:5B:3A:65:00:23:5C:EB:69:D1:76:36:2C,hesdbnode2pkg9-mntlarge
hesdbnode2pkg9-mntsmall,353,102,60:06:01:60:5B:3A:65:00:71:5C:EB:69:1A:F7:5F:75,hesdbnode2pkg9-mntsmall
hesdbnode3pkg9-mntdata,353,103,60:06:01:60:5B:3A:65:00:C5:5C:EB:69:0E:88:FD:0A,hesdbnode3pkg9-mntdata
hesdbnode3pkg9-mntpg,353,104,60:06:01:60:5B:3A:65:00:0E:5D:EB:69:67:C3:79:89,hesdbnode3pkg9-mntpg
hesdbnode3pkg9-mntmedium,564,105,60:06:01:60:5B:3A:65:00:5E:5D:EB:69:23:2F:5F:E2,hesdbnode3pkg9-mntmedium
hesdbnode3pkg9-mntlarge,917,106,60:06:01:60:5B:3A:65:00:C4:5D:EB:69:25:86:68:98,hesdbnode3pkg9-mntlarge
hesdbnode3pkg9-mntsmall,353,107,60:06:01:60:5B:3A:65:00:03:5E:EB:69:40:94:5B:E2,hesdbnode3pkg9-mntsmall
monitrngsrv01pkg9-01,"5,834.00",108,60:06:01:60:5B:3A:65:00:58:60:EB:69:32:56:F6:C0,monitrngsrv01pkg9-01
monitrngsrv01pkg9-02,"5,834.00",109,60:06:01:60:5B:3A:65:00:A8:60:EB:69:E4:A9:62:9A,monitrngsrv01pkg9-02
monitrngsrv01pkg9-03,"5,834.00",110,60:06:01:60:5B:3A:65:00:1E:64:EB:69:C5:1F:81:FB,monitrngsrv01pkg9-03
monitrngsrv02pkg9-01,"5,834.00",111,60:06:01:60:5B:3A:65:00:CB:65:EB:69:87:5B:0B:FC,monitrngsrv02pkg9-01
monitrngsrv02pkg9-02,"5,834.00",112,60:06:01:60:5B:3A:65:00:07:66:EB:69:9C:EC:3B:5D,monitrngsrv02pkg9-02
monitrngsrv02pkg9-03,"5,834.00",113,60:06:01:60:5B:3A:65:00:3E:66:EB:69:D8:79:56:A4,monitrngsrv02pkg9-03
monitrngsrv03pkg9-01,"5,834.00",114,60:06:01:60:5B:3A:65:00:9F:66:EB:69:7A:94:56:1B,monitrngsrv03pkg9-01
monitrngsrv03pkg9-02,"5,834.00",115,60:06:01:60:5B:3A:65:00:EA:66:EB:69:DE:64:E7:BF,monitrngsrv03pkg9-02
monitrngsrv03pkg9-03,"5,834.00",116,60:06:01:60:5B:3A:65:00:68:67:EB:69:D7:65:38:E4,monitrngsrv03pkg9-03
msgbrokerpkg9-01,"1,024.00",117,60:06:01:60:5B:3A:65:00:10:0D:EF:69:BF:18:39:E0,HN-DRP9ESMSGBKDCV1
msgbrokerpkg9-02,"1,024.00",118,60:06:01:60:5B:3A:65:00:C3:14:EF:69:15:D4:A0:B9,HN-DRP9ESMSGBRKV2
msgbrokerpkg9-03,"1,024.00",119,60:06:01:60:5B:3A:65:00:FC:15:EF:69:68:2B:F2:4C,HN-DRP9ESMSGBRKV3
mdmpkg9monitoring-srv,"1,024.00",120,60:06:01:60:5B:3A:65:00:75:16:EF:69:FD:CC:5B:14,HN-DRP9ESMONITV1
mdmpkg9reportng-srv01,850,121,60:06:01:60:5B:3A:65:00:D6:16:EF:69:C5:86:B2:5B,HN-DRP9ESMDMISV1
mdmpkg9reportng-srv02,850,122,60:06:01:60:5B:3A:65:00:35:17:EF:69:EC:7D:86:A5,HN-DRP9ESMDMISV2
easysoftpkg9-DS-DD,"3,072.00",123,60:06:01:60:5B:3A:65:00:96:17:EF:69:79:E5:FE:57,easysoftpkg9-DS-DD
