Name,WWN,Provisioned,Logical Unit Number
PKG9ANALYSTIC-MIS-H,naa.68ccf0980032932b868f6c7772397bb5,4.3 TB,75
PKG9-Kimbal-D,naa.68ccf098007d88bc812327006dc9d744,12.0 TB,76
PKG9-Kimbal-E,naa.68ccf098004e9fe924a9686d79597486,3.7 TB,77
PKG9-Kimbal-F,naa.68ccf09800be4e8e0cd877002ba2746c,1.6 TB,78
PKG9-Kimbal-G,naa.68ccf098002a2b531ee51d09e6d85b72,1.0 TB,79
PKG9-Kimbal-Quorum-Q,naa.68ccf09800e8c881d6430090c4bb58ab,2.0 GB,80
PKG8ANALYSTIC-Log-E,naa.68ccf09800738337fe6e49cef9baf1e6,1.5 TB,81
PKG8ANALYSTIC-Temp-F,naa.68ccf0980025607ac3f8448d735a5aea,1.0 TB,82
PKG8ANALYSTIC-MDM-G,naa.68ccf098006a6c0773d20800359d7316,9.8 TB,83
PKG8ANALYSTIC-MIS-H,naa.68ccf09800ec66a892bc6f31fbdc707e,4.3 TB,84
PKG9-REP-MDM-LOG-D,naa.68ccf09800ffca7a153146989c0d02a6,4.4 TB,85
PKG9-REP-MDM-TEMP-E,naa.68ccf098001d140b992e7e677acea3f7,1.4 TB,86
PKG9-REP-MDM-STG-IP-F,naa.68ccf0980016b25ade240b98dd5cc86d,8.4 TB,87
PKG9-REP-MDM-STG-LS-G,naa.68ccf09800ea84205d4281dff3b02916,4.1 TB,88
PKG9-REP-MDM-STG-EVENTALARM-H,naa.68ccf0980048fa03d3d31547b3ba49ec,2.1 TB,89
PKG9-REP-MDM-IP-I,naa.68ccf09800719c5bed34ae5e309be6da,8.4 TB,90
PKG9-REP-MDM-LS-J,naa.68ccf098003f3511f5364d83b9067a47,4.1 TB,91
PKG9-REP-MDM-EVENTALARM-K,naa.68ccf09800c6da02e72c40f715dd7087,2.1 TB,92
PKG9-REP-MDM-MIS-STG-L,naa.68ccf09800088d20779fd6a49c86eb03,550.0 GB,93
PKG9-REP-MDM-MIS-M,naa.68ccf0980085b6e576fb25c4f0f74b01,360.0 GB,94
PKG9-REP-MDM-Backup-2Y-N,naa.68ccf09800e23de1386915f8576b62cc,3.0 TB,95
PKG9-REP-MDM-QUORUM-Q,naa.68ccf09800f0bdb28cd51c509694d5cf,2.0 GB,96
NCCPKG9MDM-REPBKP-001,naa.68ccf0980005089742714f3476f8cb85,"1,000.0 GB",97
NCCPKG9MDM-REPBKP-002,naa.68ccf09800d14ade3083f08291a3de4d,"1,000.0 GB",98
ESXi-VOL-001,naa.68ccf09800612e41a27ddc0aebdeb248,4.0 TB,99
ESXi-VOL-002,naa.68ccf09800fcd9779bd980432175bdf9,4.0 TB,100
ESXi-VOL-003,naa.68ccf098007ae80900be2d29003a55a7,4.0 TB,101
ESXi-VOL-004,naa.68ccf09800c72037658dbcf45047138f,4.0 TB,102
kimbalpkg8-logshipping,naa.68ccf09800ebdde3f749b6ef33a142f2,1.0 TB,103
kimbalpkg9-logshipping,naa.68ccf09800cfe1d925daf6748cf840be,1.0 TB,104
ESXi-VOL-005,naa.68ccf098003a7b37c1f5ef449048dab9,4.0 TB,105
ESXi-VOL-006,naa.68ccf09800ceb31d501046a77d893832,4.0 TB,106
ESXi-VOL-007,naa.68ccf098002f34a723b0679d4ee5e9f9,4.0 TB,107
kimble-hesDB-Ddrive-Additional-001,naa.68ccf0980025a886d77d83483854fe47,7.0 TB,108
kimble-hesDB-Ddrive-Additional-002,naa.68ccf0980012ebfef9c2a34fb7513319,7.0 TB,109
