Name,WWN,Provisioned,Logical Unit Number
Datalake-vol-001,naa.68ccf0980002e4d2c03f9c653a36ad81,2.0 TB,1
Datalake-vol-002,naa.68ccf09800f7f34b14c28191a3c7055a,2.0 TB,2
Datalake-vol-003,naa.68ccf0980051f731ede259532e1a84d0,2.0 TB,3
Datalake-vol-004,naa.68ccf098009d5042ea7e1aaca03e8d9d,2.0 TB,4
Datalake-vol-005,naa.68ccf09800ab0ef80e10c80682e9b6c5,2.0 TB,5
